,id,name,short_name,created,closed,rank,max_entries,league_type,scoring,admin_entry,start_event,entry_rank,entry_last_rank,entry_can_leave,entry_can_admin,entry_can_invite
0,17,Spurs,team-17,2019-06-25T11:25:45.168621Z,False,,,s,c,,1,0,0,False,False,False
1,261,England,region-241,2019-06-25T11:25:48.920594Z,False,,,s,c,,1,0,0,False,False,False
2,276,Gameweek 1,event-1,2019-06-25T11:25:49.137947Z,False,,,s,c,,1,0,0,False,False,False
3,314,Overall,overall,2019-06-25T11:25:49.714514Z,False,,,s,c,,1,0,0,False,False,False
4,1934,Sacred Spur,,2019-06-27T11:30:06.926081Z,False,,,x,c,5000.0,1,0,0,False,True,True
