,season_name,total_points,rank
0,2008/09,1764,355513
1,2009/10,2151,129741
2,2010/11,1872,374814
3,2011/12,2026,121577
4,2012/13,1923,460667
5,2013/14,2020,962653
6,2014/15,2036,135310
7,2015/16,2109,196710
8,2016/17,2156,123549
9,2017/18,1947,1620647
10,2018/19,2160,445285
